상호명,지점명,상권업종대분류명,대분류코드명,상권업종중분류명,중분류코드명,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동명,법정동명,도로명주소,전화번호,영업시간,위도,경도,일층,경사로,입구턱,입구문턱,테이블석,화장실턱,화장실문턱,장애인화장실,엘리베이터,주차장,장애인주차장,테이크아웃
과일샵CAFE리치,서초점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로19길 10,0507-1385-0747,매일 11:00 ~ 23:00,37.48747889,127.0090687,Y,N,N,Y,Y,N,N,N,N,N,N,N
노아스로스팅,파스텔시티점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로 11,02-3474-0514,월 - 금 09:00 - 22:30 22:00 라스트오더 토 - 일 09:00 - 22:00 21:30 라스트오더,37.47769047,126.9821989,Y,N,N,Y,Y,N,N,N,N,N,N,N
던킨도너츠,교대법원점,카페,C,제과제빵,I210,빵/도넛,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 서초중앙로 142,0507-2093-9225,매일 07:00 - 21:00,37.49455547,127.0137701,Y,N,N,Y,Y,N,N,N,N,N,N,N
델리에또,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포4동,반포동,서울특별시 서초구 신반포로 176,02-6282-1200,매일 07:00 ~ 22:00,37.50391486,127.0022805,Y,N,N,Y,Y,N,N,N,N,N,N,N
디어포레스트,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재1동,우면동,서울특별시 서초구 성촌1길 26,0507-1484-0881,"매주 토, 일 휴무 월~금 : 08:00 ~ 17:00",37.46544272,127.0214105,Y,N,N,Y,Y,N,N,N,N,N,N,N
디저트39,교대점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초1동,서초동,서울특별시 서초구 서초중앙로 116,0507-2093-5233,월~금 : 07:00 ~ 21:30 토 : 10:00 ~ 20:30 일 : 11:00 ~ 20:30,37.49208152,127.0142437,Y,N,N,Y,Y,N,N,N,N,N,N,N
로우어가든,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,반포1동,반포동,서울특별시 서초구 사평대로57길 28,070-4200-0921,화 - 일 12:00 - 22:00 월 정기휴무 (매주 월요일),37.50558965,127.0230805,Y,N,N,Y,Y,N,N,N,N,N,N,N
마켓동광,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 명달로8길 10,0507-1480-8897,,37.48153984,127.0057212,Y,Y,N,Y,Y,N,N,N,N,Y,N,N
메가엠지씨커피,함지박사거리점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배본동,방배동,서울특별시 서초구 동광로 75,0507-1431-1408,월~금 : 07:30 ~ 22:00 토~일 : 08:00 ~ 22:00,37.49303548,126.9906303,Y,Y,N,Y,Y,N,N,N,N,N,N,N
메가엠지씨커피,양재중앙점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재2동,양재동,서울특별시 서초구 동산로12길 3,02-571-0656,매일 08:00 - 22:00 ,37.47167542,127.0453191,Y,Y,N,Y,Y,N,N,N,N,N,N,N
배스킨라빈스,내방점,카페,C,아이스크림,C3,아이스크림,11,서울특별시,11650,서초구,방배4동,방배동,서울특별시 서초구 방배로 200,02-537-7907,10:00 - 22:50 ,37.49131425,126.9916599,Y,Y,N,Y,Y,N,N,N,N,N,N,Y
배스킨라빈스,서초점,카페,C,아이스크림,C3,아이스크림,11,서울특별시,11650,서초구,서초3동,방배동,서울특별시 서초구 효령로 186,02-583-0331,매일 10:00 - 23:00,37.48247423,127.0043294,Y,Y,N,Y,Y,N,N,N,N,N,N,N
배스킨라빈스,사당방배점,카페,C,아이스크림,C3,아이스크림,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 동작대로 44,02-525-9532,매일 11:00 - 21:50 21:45 라스트오더,37.4803844,126.9821962,Y,Y,N,Y,Y,N,N,N,N,N,N,N
베스킨라빈스,남부터미널역점,카페,C,아이스크림,C3,아이스크림,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로10길 35,02-522-3132,매일 10:00 ~ 23:00,37.48423763,127.0136796,Y,N,N,Y,Y,N,N,N,N,N,N,N
베스킨라빈스,양재매헌점,카페,C,아이스크림,C3,아이스크림,11,서울특별시,11650,서초구,양재2동,양재동,서울특별시 서초구 동산로 18,0507-2093-4582,10:00 - 24:00,37.46951952,127.0416833,Y,Y,N,Y,Y,N,N,N,N,N,N,N
브리즈커피,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재2동,양재동,서울특별시 서초구 마방로 2,02-6951-0919,월~토 : 10:00 ~ 22:00 일 : 10:00 ~ 21:00,37.47356259,127.0391331,Y,N,N,Y,Y,N,N,N,N,N,N,N
블루밍,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 서초대로74길 3,0507-1319-5136,월 - 금 08:00 - 21:00 토 - 일 09:00 - 21:00,37.49721747,127.0261865,Y,N,N,Y,Y,N,N,N,N,N,N,N
블루샥,서초남부점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 효령로51길 18,0507-1320-5031,매일 10:00 ~ 18:30,37.4852015,127.0125701,Y,N,N,Y,Y,N,N,N,N,Y,N,N
비엔나커피하우스,이수역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 동작대로 86,0507-1316-1683,월~금 : 08:00 ~ 22:00 토~일: 10:00 ~ 22:00,37.48422488,126.9824268,Y,N,N,Y,Y,N,N,N,N,N,N,N
빌리엔젤,방배점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배1동,방배동,서울특별시 서초구 효령로 127,,매일 09:00 ~ 21:00,37.48177202,126.9980069,Y,N,N,Y,Y,N,N,N,N,N,N,N
빽다방,신논현역점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,반포1동,반포동,서울특별시 서초구 사평대로 367,02-548-0410,매일 07:00 - 21:00,37.50437327,127.023085,Y,N,N,Y,Y,N,N,N,N,N,N,N
빽다방,서초우성,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 사임당로 181,02-584-1061,"월~금 : 07:10 ~ 20:00 토,일 : 08:10 ~ 20:00",37.4930262,127.0293055,Y,N,N,Y,Y,N,N,N,N,N,N,N
빽다방 빵연구소,신사사거리점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,잠원동,잠원동,서울특별시 서초구 강남대로 605,02-517-0410,매주 일요일 휴무 월~토 : 07:30 ~ 20:00,37.51573896,127.0191474,Y,N,N,Y,Y,N,N,N,N,N,N,N
뽐므,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로18길 36-5,0507-1387-6613,매일 09:00 ~ 20:00,37.48244389,126.9848819,Y,N,N,Y,Y,N,N,N,N,N,N,N
생각이나서,방배본점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 청두곶길 4,0507-1320-1211,매일 11:00 - 23:00 22:30 라스트오더,37.47708771,126.9854744,Y,N,N,Y,Y,N,N,N,N,N,N,N
셀렉토커피,신논현점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포1동,반포동,서울특별시 서초구 강남대로79길 31,02-545-5649,월~금 : 08:00 ~ 22:00 토~일 : 10:00 ~ 21:00,37.50443156,127.0225074,Y,Y,N,Y,Y,N,N,N,N,N,N,N
스케일즈커피,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배4동,방배동,서울특별시 서초구 서초대로 117,0507-1335-9948,"매주 토, 일 휴무 월~금 : 08:30 ~ 18:00",37.48838784,126.9950689,Y,N,N,Y,Y,N,N,N,N,N,N,N
스퀘어가든,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포4동,반포동,서울특별시 서초구 서래로5길 26,070-8888-5959,월~금 : 08:30 ~ 20:50 토 : 10:00 ~ 19:50 일 : 12:00 ~ 19:50,37.49796317,126.9968519,Y,Y,N,Y,Y,N,N,N,N,N,N,N
스타벅스,청계산입구역점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,내곡동,신원동,서울특별시 서초구 청계산로 203,,매일 07:30 - 21:00,37.44727249,127.0562637,Y,N,N,Y,Y,N,N,N,N,N,N,N
스템커피,서초KB점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 서초중앙로24길 41,02-6251-0520,"월~금 : 08:00 ~ 19:00 토,일 : 09:00 ~ 19:00",37.49559799,127.0177711,Y,N,N,Y,Y,N,N,N,N,N,N,N
아트메이저,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배1동,방배동,서울특별시 서초구 서초대로 114,02-521-6239,"월~금 : 08:30 ~ 21:50 토,일 : 09:00 ~ 21:50",37.48774556,126.9947722,Y,Y,N,Y,Y,N,N,N,N,N,N,N
앙띠크,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초1동,서초동,서울특별시 서초구 서초중앙로20길 14,02-587-2253,월~토 : 10:30 ~ 21:00 일 : 11:00 ~ 21:00,37.49216751,127.0148306,Y,N,N,Y,Y,N,N,N,N,N,N,N
엘리씨커피,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배4동,방배동,서울특별시 서초구 동광로12가길 3,02-533-5157,월~금 : 08:00 ~ 22:00 토~일 : 09:00 ~ 22:00,37.48738894,126.9846793,Y,N,N,Y,Y,N,N,N,N,N,N,N
엘브로커피,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 서초대로46길 93,0507-1389-9028,월 - 금 08:00 - 22:00 21:30 라스트오더 토 - 일 10:00 - 17:00 16:30 라스트오더,37.49014394,127.013127,Y,Y,N,Y,Y,N,N,N,N,N,N,N
우면동다방,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재1동,우면동,서울특별시 서초구 성촌1길 26,0507-1324-0991,,37.46539725,127.0213541,Y,N,N,Y,Y,N,N,N,N,N,N,N
유어마이커피브루어스,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,양재1동,양재동,서울특별시 서초구 논현로31길 50-6,02-577-1201,월 - 금 07:30 - 18:00 17:30 라스트오더 토 - 일 정기휴무,37.48080285,127.0408269,Y,N,N,Y,Y,N,N,N,N,N,N,Y
유월오일,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배본동,방배동,서울특별시 서초구 동광로 57,0507-1444-7278,월~금 : 08:30 ~ 20:00 토~일 : 09:00 ~ 20:00,37.49235379,126.9888867,Y,Y,N,Y,Y,N,N,N,N,N,N,N
율목커피,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로8길 26,,매일 10:00 - 22:00 격주 수요일 정기 휴무,37.48036462,126.9840847,Y,N,Y,N,Y,N,N,N,N,N,N,N
이디야,서초역점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로21길 23,02-525-7555,08:00-22:00,37.48769948,127.0085117,Y,N,N,Y,Y,N,N,N,N,N,N,N
이디야커피,함지박사거리점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배본동,방배동,서울특별시 서초구 방배로 234,0507-1856-7503,매일 08:00 - 22:00,37.49415557,126.9899028,Y,N,N,Y,Y,N,N,N,N,N,N,N
이디야커피,청계산입구역점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,내곡동,신원동,서울특별시 서초구 청계산로 189,02-575-7942,월 - 토 08:35 - 22:00 21:50 라스트오더 일 10:00 - 21:00 20:50 라스트오더,37.44824723,127.055336,Y,N,N,Y,Y,N,N,N,N,N,N,N
청계산커피에코,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,양재2동,원지동,서울특별시 서초구 청계산로 233,0507-1389-8526,월 - 금 10:30 - 21:00 토 - 일 10:00 - 21:00,37.4448523,127.0578537,Y,N,N,Y,Y,N,N,N,N,N,N,N
청년커피LAB,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포4동,반포동,서울특별시 서초구 사평대로 205,0507-1344-1717,매일 11:00 ~ 22:00,37.50441973,127.0078205,Y,N,N,Y,Y,N,N,N,N,N,N,N
카몽,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 서초대로42길 17,0507-1498-5951,매일 08:30 - 22:00,37.49119898,127.0089178,Y,N,N,Y,Y,N,N,N,N,N,N,N
카페노아,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로24길 8,02-587-5716,월~토 : 09:00 ~ 20:00 일 : 08:00 ~ 19:00,37.48454288,126.9837793,Y,N,N,Y,Y,N,N,N,N,N,N,N
카페드빈,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 서초대로74길 49,0507-1856-7523,월~금 : 07:00 ~ 21:00 토~일 : 08:00 ~ 18:00,37.49344942,127.0281809,Y,N,N,Y,Y,N,N,N,N,N,N,N
카페마로우,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 서초대로 253,,매주 일요일 휴무 월~금 : 08:00 ~ 23:00 토 : 12:00 ~ 18:00,37.49264478,127.0094076,Y,Y,N,Y,Y,N,N,N,N,N,N,N
카페바이이브릭,양재점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,양재1동,양재동,서울특별시 서초구 남부순환로 2614,0507-0284-4281,월 - 금 08:00 - 23:00 토 11:00 - 22:00 일 정기휴무,37.48446323,127.0366529,Y,N,N,Y,Y,N,N,N,N,N,N,N
카페위키드블랙,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 서초중앙로24길 16,,월~금 : 08:00 ~ 22:00 토~일 : 12:00 ~ 22:00,37.49465783,127.0152389,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피나무,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배1동,방배동,서울특별시 서초구 효령로29길 23,0507-1474-1216,매일 08:00 ~ 22:00,37.48258551,126.9951241,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피는,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재2동,양재동,서울특별시 서초구 매헌로16길 24,02-2057-2345,"매주 토, 일 휴무 월~금 : 08:30 ~ 19:00",37.46660497,127.0356386,Y,Y,N,Y,Y,N,N,N,N,N,N,N
커피빈,논현역8번출구앞점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,잠원동,잠원동,서울특별시 서초구 강남대로 563,02-755-3301,매일 07:00-22:00,37.51193806,127.0204187,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,잠원논현역점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,잠원동,잠원동,서울특별시 서초구 신반포로47길 5,02-541-7404,월-금 07:00 - 22:00 토-일 08:00 - 21:00,37.51094776,127.0194363,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,뉴교보타워옆점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 강남대로 449-3,02-591-5177,월-목 07:00 - 22:30 금-일 07:00 - 23:00,37.50235159,127.0248644,Y,N,N,Y,Y,N,N,N,N,N,Y,N
커피빈,강남역GT타워옆점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 서초대로73길 12,02-592-0053,토 07:30 - 22:30 일 07:30 - 21:00 월-금 07:00 - 23:00 ,37.49853815,127.025717,Y,Y,N,Y,Y,N,N,N,N,N,N,N
커피빈,서초우성점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 강남대로51길 1,02-582-0158,매일 07:00-22:30,37.49127685,127.0302441,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,내방역7번출구유중아트점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,방배4동,방배동,서울특별시 서초구 방배로 178,02-592-8861,07:00-21:00,37.4895311,126.992826,Y,Y,N,Y,Y,N,N,N,N,N,N,N
커피빈,서초동점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로 70,02-3665-9507,월-금 07:30 - 21:00 / 토-일 08:00 - 21:00,37.48668907,127.0105152,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피빈,남부터미널역,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 서초중앙로 43,02-523-3671,매일 07:00 - 22:00,37.48553283,127.0155622,Y,N,N,Y,Y,N,N,N,N,N,N,N
커피사회,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로16길 11-15,0507-1406-2896,매일 08:00 ~ 19:00,37.48246334,126.9839997,Y,Y,N,Y,Y,N,N,N,N,N,N,N
커피식구,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,양재1동,양재동,서울특별시 서초구 강남대로34길 53,0507-1306-2800,"매주 토,일 휴무 월~금 : 09:00 ~ 15:00",37.48395789,127.0387739,Y,N,N,Y,Y,N,N,N,N,N,N,N
코르누코피아,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초2동,서초동,서울특별시 서초구 강남대로43길 6,0507-1476-9683,매주 일요일 휴무 월~금 : 08:00 ~ 23:00 토 : 11:00 ~ 22:00,37.48779401,127.0318609,Y,N,N,Y,Y,N,N,N,N,N,N,N
퀴베롱,,카페,C,제과제빵,C2,카페,11,서울특별시,11650,서초구,서초3동,서초동,서울특별시 서초구 반포대로1길 8,02-582-1236,월~토: 11:30 ~ 20:00 일 : 15:00 ~ 20:00,37.48125978,127.0120793,Y,N,N,Y,Y,N,N,N,N,Y,N,N
타이거슈가,강남고속터미널점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포4동,반포동,서울특별시 서초구 신반포로 194,0507-1330-6637,매일 10:00 ~ 22:00,37.50649082,127.006822,Y,N,N,Y,Y,N,N,N,N,N,N,N
터미널에스프레소하우스,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,반포4동,반포동,서울특별시 서초구 신반포로 200,0507-1326-8948,월-금 08:00 - 20:00 토-일 10:00 - 20:00 ,37.50621391,127.0050321,Y,N,N,Y,Y,N,N,N,N,N,N,Y
토비커피,,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로24길 11,0507-1332-6125,매일 10:00 - 22:00,37.48498726,126.9841125,Y,N,N,Y,Y,N,N,N,N,N,Y,N
투썸플레이스,서초유니온타워점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,서초4동,서초동,서울특별시 서초구 서초대로 353,02-3478-0900,월~금 : 07:30 ~ 22:30 토~일 : 08:30 ~ 22:00,37.49589503,127.0199046,Y,N,N,Y,Y,N,N,N,N,N,N,N
투썸플레이스,사당역로데오점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배2동,방배동,서울특별시 서초구 방배천로2길 5,02-582-7791,"월,화,수,목,일 : 08:00 ~ 23:00 금,토 : 08:00 ~ 24:00",37.47719382,126.983144,Y,N,N,Y,Y,N,N,N,N,N,N,N
투썸플레이스,양재매헌역점,카페,C,비알코올 ,I212,카페,11,서울특별시,11650,서초구,양재2동,양재동,서울특별시 서초구 강남대로16길 3,02-573-2389,월-금 07:00-23:00 토-일 08:00-22:00,37.47099511,127.0391999,Y,Y,N,Y,Y,N,N,N,N,N,N,N
투썸플레이스,청계산입구역점,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,내곡동,신원동,서울특별시 서초구 청계산로 201,02-579-5222,"일,월,화 : 08:00 ~ 21:00 수,목,금,토 : 08:00 ~ 21:30",37.44755086,127.0561476,Y,N,N,Y,Y,N,N,N,N,N,N,N
투썸플레이스반포,,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,반포4동,반포동,서울특별시 서초구 반포대로 235,02-534-2103,월~금 : 07:30 ~ 21:00 토 : 09:00 ~ 21:00 일 : 09:00 ~ 20:00,37.50065733,127.0032397,Y,N,N,Y,Y,N,N,N,N,N,N,N
트로피티아일랜드,언주역,카페,C,카페,C1,카페,11,서울특별시,11650,서초구,방배본동,방배동,서울특별시 서초구 방배중앙로 157,0507-1420-3808,매일 07:00 ~ 23:00,37.49314129,126.9861507,Y,N,N,Y,Y,N,N,N,N,N,N,N
